CMDLINE C:\Users\runep\anaconda3\envs\spyder-env\python.exe DFT_plot_samples.py
MEM 1.609375 1676566552.0986
MEM 15.355469 1676566552.2046
MEM 22.734375 1676566552.3156
MEM 29.296875 1676566552.4246
MEM 33.222656 1676566552.5336
MEM 38.492188 1676566552.6436
MEM 43.292969 1676566552.7546
MEM 49.101562 1676566552.8656
MEM 57.015625 1676566552.9776
MEM 64.925781 1676566553.0876
MEM 65.664062 1676566553.1976
MEM 68.707031 1676566553.3076
MEM 71.312500 1676566553.4196
MEM 74.050781 1676566553.5316
MEM 74.976562 1676566553.6396
MEM 75.757812 1676566553.7496
MEM 75.757812 1676566553.8616
MEM 75.757812 1676566553.9736
MEM 75.757812 1676566554.0836
MEM 75.757812 1676566554.1956
MEM 75.757812 1676566554.3056
MEM 75.757812 1676566554.4136
MEM 75.757812 1676566554.5236
MEM 75.757812 1676566554.6346
MEM 75.757812 1676566554.7456
MEM 75.757812 1676566554.8576
MEM 75.757812 1676566554.9696
MEM 75.757812 1676566555.0816
MEM 75.757812 1676566555.1926
MEM 75.757812 1676566555.3046
MEM 75.757812 1676566555.4136
MEM 75.757812 1676566555.5249
MEM 75.757812 1676566555.6346
MEM 75.757812 1676566555.7426
MEM 75.757812 1676566555.8546
MEM 75.757812 1676566555.9656
MEM 75.757812 1676566556.0746
MEM 75.757812 1676566556.1846
MEM 75.757812 1676566556.2956
MEM 75.757812 1676566556.4056
MEM 75.757812 1676566556.5156
MEM 75.757812 1676566556.6276
MEM 75.757812 1676566556.7376
MEM 75.757812 1676566556.8496
MEM 75.757812 1676566556.9596
MEM 75.757812 1676566557.0706
MEM 75.757812 1676566557.1826
MEM 75.757812 1676566557.2906
MEM 75.757812 1676566557.4016
MEM 75.757812 1676566557.5116
MEM 75.757812 1676566557.6216
FUNC DFT.DFT 75.7539 1676566553.7436 75.8359 1676566559.8916 0
MEM 75.757812 1676566557.7336
MEM 75.757812 1676566557.8456
MEM 75.757812 1676566557.9536
MEM 75.757812 1676566558.0656
MEM 75.757812 1676566558.1756
MEM 75.757812 1676566558.2876
MEM 75.757812 1676566558.3976
MEM 75.757812 1676566558.5086
MEM 75.757812 1676566558.6166
MEM 75.757812 1676566558.7276
MEM 75.757812 1676566558.8376
MEM 75.757812 1676566558.9496
MEM 75.757812 1676566559.0586
MEM 75.757812 1676566559.1686
MEM 75.757812 1676566559.2776
MEM 75.757812 1676566559.3866
MEM 75.757812 1676566559.4986
MEM 75.757812 1676566559.6096
MEM 75.757812 1676566559.7216
MEM 75.757812 1676566559.8336
MEM 75.886719 1676566559.9426
